Season,Date,team
2014,"Tuesday, August 19, 2014",ARI
2014,"Wednesday, August 20, 2014",ARI
2014,"Thursday, August 21, 2014",ARI
2014,"Friday, August 22, 2014",ARI
2014,"Saturday, August 23, 2014",ARI
2014,"Sunday, August 24, 2014",ARI
2014,"Monday, August 25, 2014",ARI
2014,"Tuesday, August 26, 2014",ARI
2014,"Wednesday, August 27, 2014",ARI
2014,"Thursday, August 28, 2014",ARI
2014,"Friday, August 29, 2014",ARI
2014,"Saturday, August 30, 2014",ARI
2014,"Sunday, August 31, 2014",ARI
2014,"Monday, September 01, 2014",ARI
2014,"Tuesday, September 02, 2014",ARI
2014,"Wednesday, September 03, 2014",ARI
2014,"Thursday, September 04, 2014",ARI
2014,"Friday, September 05, 2014",ARI
2014,"Saturday, September 06, 2014",ARI
2014,"Sunday, September 07, 2014",ARI
2014,"Monday, September 08, 2014",ARI
2014,"Tuesday, September 09, 2014",ARI
2014,"Wednesday, September 10, 2014",ARI
2014,"Thursday, September 11, 2014",ARI
2014,"Friday, September 12, 2014",ARI
2014,"Saturday, September 13, 2014",ARI
2014,"Sunday, September 14, 2014",ARI
2014,"Monday, September 15, 2014",ARI
2014,"Tuesday, September 16, 2014",ARI
2014,"Wednesday, September 17, 2014",ARI
2014,"Thursday, September 18, 2014",ARI
2014,"Friday, September 19, 2014",ARI
2014,"Saturday, September 20, 2014",ARI
2014,"Sunday, September 21, 2014",ARI
2014,"Monday, September 22, 2014",ARI
2014,"Tuesday, September 23, 2014",ARI
2014,"Wednesday, September 24, 2014",ARI
2014,"Thursday, September 25, 2014",ARI
2014,"Friday, September 26, 2014",ARI
2014,"Saturday, September 27, 2014",ARI
2014,"Sunday, September 28, 2014",ARI
2014,"Monday, September 29, 2014",ARI
2014,"Tuesday, September 30, 2014",ARI
2014,"Wednesday, October 01, 2014",ARI
2014,"Thursday, October 02, 2014",ARI
2014,"Friday, October 03, 2014",ARI
2014,"Saturday, October 04, 2014",ARI
2014,"Sunday, October 05, 2014",ARI
2014,"Monday, October 06, 2014",ARI
2014,"Tuesday, October 07, 2014",ARI
2014,"Wednesday, October 08, 2014",ARI
2014,"Thursday, October 09, 2014",ARI
2014,"Friday, October 10, 2014",ARI
2013,"Wednesday, March 20, 2013",ARI
2013,"Thursday, March 21, 2013",ARI
2013,"Friday, March 22, 2013",ARI
2013,"Saturday, March 23, 2013",ARI
2013,"Sunday, March 24, 2013",ARI
2013,"Monday, March 25, 2013",ARI
2013,"Tuesday, March 26, 2013",ARI
2013,"Wednesday, March 27, 2013",ARI
2013,"Thursday, March 28, 2013",ARI
2013,"Friday, March 29, 2013",ARI
2013,"Saturday, March 30, 2013",ARI
2013,"Sunday, March 31, 2013",ARI
2013,"Monday, April 01, 2013",ARI
2013,"Tuesday, April 02, 2013",ARI
2013,"Wednesday, April 03, 2013",ARI
2013,"Thursday, April 04, 2013",ARI
2013,"Friday, April 05, 2013",ARI
