Season,Tm,NumBat,BatAge,PerBat,NumP,PAge,PerP,AvgAge
2012,TEX,39,29.7,0.65,21,28.8,0.35,29.385
2012,TOR,54,27.9,0.613636364,34,27.8,0.386363636,27.86136364
2012,WSN,43,27.2,0.693548387,19,27,0.306451613,27.13870968
2011,ARI,51,28.3,0.671052632,25,27.4,0.328947368,28.00394737
2011,ATL,45,28.9,0.681818182,21,28.4,0.318181818,28.74090909
2011,BAL,50,28.4,0.649350649,27,28.2,0.350649351,28.32987013
2011,BOS,49,30,0.644736842,27,30.3,0.355263158,30.10657895
2011,CHC,42,29.2,0.65625,22,29.4,0.34375,29.26875
2011,CHW,42,29.9,0.65625,22,28.5,0.34375,29.41875
2011,CIN,42,28.6,0.666666667,21,27.7,0.333333333,28.3
2011,CLE,46,27.8,0.676470588,22,26.7,0.323529412,27.44411765
2011,COL,55,28.6,0.654761905,29,27.7,0.345238095,28.28928571
2011,DET,45,28.6,0.633802817,26,27.8,0.366197183,28.30704225
2011,MIA,44,27.4,0.666666667,22,28,0.333333333,27.6
2011,HOU,47,28.2,0.671428571,23,27.2,0.328571429,27.87142857
2011,KCR,42,25.8,0.646153846,23,26.4,0.353846154,26.01230769
2011,LAA,43,28.9,0.671875,21,28.4,0.328125,28.7359375
2011,LAD,48,29.8,0.695652174,21,28.6,0.304347826,29.43478261
2011,MIL,48,28.9,0.685714286,22,29.3,0.314285714,29.02571429
2011,MIN,45,27.5,0.652173913,24,28.5,0.347826087,27.84782609
2011,NYM,46,28.1,0.666666667,23,30,0.333333333,28.73333333
2011,NYY,48,30.5,0.631578947,28,31,0.368421053,30.68421053
2011,OAK,48,29,0.648648649,26,27.4,0.351351351,28.43783784
2011,PHI,42,31.5,0.646153846,23,29.2,0.353846154,30.68615385
2011,PIT,52,27.2,0.675324675,25,28.1,0.324675325,27.49220779
2011,SDP,48,28,0.685714286,22,28.1,0.314285714,28.03142857
2011,SEA,47,29.3,0.691176471,21,26.8,0.308823529,28.52794118
2011,SFG,44,30.2,0.721311475,17,28.5,0.278688525,29.72622951
2011,STL,46,29.3,0.657142857,24,30.2,0.342857143,29.60857143
2011,TBR,42,28.3,0.666666667,21,27.8,0.333333333,28.13333333
2011,TEX,45,29.2,0.642857143,25,28.8,0.357142857,29.05714286
2011,TOR,53,28.4,0.638554217,30,27.6,0.361445783,28.11084337
2011,WSN,44,28.4,0.647058824,24,27.6,0.352941176,28.11764706
2010,ARI,48,26.8,0.631578947,28,27.9,0.368421053,27.20526316
2010,ATL,43,28.6,0.671875,21,30.1,0.328125,29.0921875
2010,BAL,45,28.7,0.661764706,23,28.4,0.338235294,28.59852941
2010,BOS,53,30.8,0.679487179,25,29.6,0.320512821,30.41538462
2010,CHC,44,29.3,0.656716418,23,28.2,0.343283582,28.92238806
2010,CHW,40,30.6,0.666666667,20,29,0.333333333,30.06666667
2010,CIN,44,29,0.656716418,23,28.2,0.343283582,28.72537313
2010,CLE,45,27.2,0.671641791,22,26.6,0.328358209,27.00298507
2010,COL,43,28.8,0.651515152,23,28.1,0.348484848,28.55606061
2010,DET,41,28.8,0.672131148,20,26.5,0.327868852,28.04590164
2010,MIA,57,26.9,0.647727273,31,27.1,0.352272727,26.97045455
2010,HOU,48,29.6,0.657534247,25,29.6,0.342465753,29.6
2010,KCR,46,28.8,0.647887324,25,27.5,0.352112676,28.34225352
2010,LAA,46,29.5,0.686567164,21,28.3,0.313432836,29.1238806
2010,LAD,49,30.2,0.671232877,24,28.1,0.328767123,29.50958904
2010,MIL,43,27.9,0.632352941,25,29.2,0.367647059,28.37794118
2010,MIN,42,28.4,0.666666667,21,28.6,0.333333333,28.46666667
2010,NYM,47,28.4,0.701492537,20,29.5,0.298507463,28.72835821
2010,NYY,43,30.2,0.671875,21,30.3,0.328125,30.2328125
2010,OAK,49,27.7,0.680555556,23,26,0.319444444,27.15694444
2010,PHI,42,31.8,0.666666667,21,31.1,0.333333333,31.56666667
2010,PIT,52,26.5,0.65,28,28.6,0.35,27.235
2010,SDP,40,29.1,0.677966102,19,27.2,0.322033898,28.48813559
2010,SEA,47,29.4,0.68115942,22,27.1,0.31884058,28.66666667
2010,SFG,42,29.5,0.68852459,19,27.9,0.31147541,29.00163934
2010,STL,42,28.8,0.65625,22,30.2,0.34375,29.28125
2010,TBR,37,27.7,0.685185185,17,28,0.314814815,27.79444444
2010,TEX,48,28.3,0.685714286,22,27.6,0.314285714,28.08
2010,TOR,44,29.3,0.647058824,24,28,0.352941176,28.84117647
2010,WSN,46,29.1,0.638888889,26,28,0.361111111,28.70277778
