Season,Team,Mgr,Yrs,Prior Seasons Managed,From,To,W,L,W-L%,G>.500,G,Wpost,Lpost,W-L%post,BestFin,WrstFin,AvRk,Plyof App,Prior Playoff,Playoffs,WSwon,PennWon,ASG,playoff per season,career playoffs per season
2010,OAK,Bob Geren,5,3,2007,2011,334,376,0.47,-42,710,0,0,,2,4,3.1,0,0,N,0,0,0,0,0
2009,OAK,Bob Geren,5,2,2007,2011,334,376,0.47,-42,710,0,0,,2,4,3.1,0,0,N,0,0,0,0,0
2008,OAK,Bob Geren,5,1,2007,2011,334,376,0.47,-42,710,0,0,,2,4,3.1,0,0,N,0,0,0,0,0
2007,OAK,Bob Geren,5,0,2007,2011,334,376,0.47,-42,710,0,0,,2,4,3.1,0,0,N,0,0,0,0,0
2006,OAK,Ken Macha,6,3,2003,2010,525,447,0.54,78,972,5,7,0.417,1,3,2,2,1,Y,0,0,0,0.333333333,0.333333333
2005,OAK,Ken Macha,6,2,2003,2010,525,447,0.54,78,972,5,7,0.417,1,3,2,2,1,N,0,0,0,0.5,0.333333333
2004,OAK,Ken Macha,6,1,2003,2010,525,447,0.54,78,972,5,7,0.417,1,3,2,2,1,N,0,0,0,1,0.333333333
2014,PHI,Ryne Sandberg HOF,2,1,2013,2014,93,111,0.456,-18,204,0,0,,4,5,4.8,0,0,N,0,0,0,0,0
2013,PHI,Ryne Sandberg HOF,2,0,2013,2014,93,111,0.456,-18,204,0,0,,4,5,4.8,0,0,N,0,0,0,0,0
2012,PHI,Charlie Manuel,12,10,2000,2013,1000,826,0.548,174,1826,27,19,0.587,1,4,1.7,6,6,N,1,2,2,0.6,0.5
2011,PHI,Charlie Manuel,12,9,2000,2013,1000,826,0.548,174,1826,27,19,0.587,1,4,1.7,6,5,Y,1,2,2,0.555555556,0.5
2010,PHI,Charlie Manuel,12,8,2000,2013,1000,826,0.548,174,1826,27,19,0.587,1,4,1.7,6,4,Y,1,2,2,0.5,0.5
2009,PHI,Charlie Manuel,12,7,2000,2013,1000,826,0.548,174,1826,27,19,0.587,1,4,1.7,6,3,Y,1,2,2,0.428571429,0.5
2008,PHI,Charlie Manuel,12,6,2000,2013,1000,826,0.548,174,1826,27,19,0.587,1,4,1.7,6,2,Y,1,2,2,0.333333333,0.5
2007,PHI,Charlie Manuel,12,5,2000,2013,1000,826,0.548,174,1826,27,19,0.587,1,4,1.7,6,1,Y,1,2,2,0.2,0.5
2006,PHI,Charlie Manuel,12,4,2000,2013,1000,826,0.548,174,1826,27,19,0.587,1,4,1.7,6,1,N,1,2,2,0.25,0.5
