Season,Team,Mgr,Yrs,Prior Seasons Managed,From,To,W,L,W-L%,G>.500,G,Wpost,Lpost,W-L%post,BestFin,WrstFin,AvRk,Plyof App,Prior Playoff,Playoffs,WSwon,PennWon,ASG,playoff per season,career playoffs per season
2006,CIN,Jerry Narron,5,3,2001,2007,291,341,0.46,-50,633,0,0,,3,6,4.2,0,0,N,0,0,0,0,0
2005,CIN,Jerry Narron,5,2,2001,2007,291,341,0.46,-50,633,0,0,,3,6,4.2,0,0,N,0,0,0,0,0
2004,CIN,Dave Miley,3,1,2003,2005,125,164,0.433,-39,289,0,0,,4,6,4.7,0,0,N,0,0,0,0,0
2014,CLE,Terry Francona,14,13,1997,2014,1206,1062,0.532,144,2268,28,18,0.609,1,5,2.8,6,6,N,2,2,2,0.461538462,0.428571429
2013,CLE,Terry Francona,14,12,1997,2014,1206,1062,0.532,144,2268,28,18,0.609,1,5,2.8,6,5,Y,2,2,2,0.416666667,0.428571429
2012,CLE,Manny Acta,6,5,2007,2012,372,518,0.418,-146,890,0,0,,2,5,4.1,0,0,N,0,0,0,0,0
2011,CLE,Manny Acta,6,4,2007,2012,372,518,0.418,-146,890,0,0,,2,5,4.1,0,0,N,0,0,0,0,0
2010,CLE,Manny Acta,6,3,2007,2012,372,518,0.418,-146,890,0,0,,2,5,4.1,0,0,N,0,0,0,0,0
2009,CLE,Eric Wedge,10,6,2003,2013,774,846,0.478,-72,1620,6,5,0.545,1,4,3.3,1,1,N,0,0,0,0.166666667,0.1
2008,CLE,Eric Wedge,10,5,2003,2013,774,846,0.478,-72,1620,6,5,0.545,1,4,3.3,1,1,N,0,0,0,0.2,0.1
2007,CLE,Eric Wedge,10,4,2003,2013,774,846,0.478,-72,1620,6,5,0.545,1,4,3.3,1,0,Y,0,0,0,0,0.1
2006,CLE,Eric Wedge,10,3,2003,2013,774,846,0.478,-72,1620,6,5,0.545,1,4,3.3,1,0,N,0,0,0,0,0.1
2005,CLE,Eric Wedge,10,2,2003,2013,774,846,0.478,-72,1620,6,5,0.545,1,4,3.3,1,0,N,0,0,0,0,0.1
2004,CLE,Eric Wedge,10,1,2003,2013,774,846,0.478,-72,1620,6,5,0.545,1,4,3.3,1,0,N,0,0,0,0,0.1
2014,COL,Walt Weiss,2,1,2013,2014,140,184,0.432,-44,324,0,0,,4,5,4.5,0,0,N,0,0,0,0,0
2013,COL,Walt Weiss,2,0,2013,2014,140,184,0.432,-44,324,0,0,,4,5,4.5,0,0,N,0,0,0,0,0
2012,COL,Jim Tracy,11,10,2001,2012,856,880,0.493,-24,1736,2,6,0.25,1,6,3.5,2,2,N,0,0,0,0.2,0.181818182
2011,COL,Jim Tracy,11,9,2001,2012,856,880,0.493,-24,1736,2,6,0.25,1,6,3.5,2,2,N,0,0,0,0.222222222,0.181818182
2010,COL,Jim Tracy,11,8,2001,2012,856,880,0.493,-24,1736,2,6,0.25,1,6,3.5,2,2,N,0,0,0,0.25,0.181818182
2009,COL,Jim Tracy,11,7,2001,2012,856,880,0.493,-24,1736,2,6,0.25,1,6,3.5,2,1,Y,0,0,0,0.142857143,0.181818182
2008,COL,Clint Hurdle,12,6,2002,2014,867,940,0.48,-73,1807,10,8,0.556,2,5,3.5,3,1,N,0,1,1,0.166666667,0.25
2007,COL,Clint Hurdle,12,5,2002,2014,867,940,0.48,-73,1807,10,8,0.556,2,5,3.5,3,0,Y,0,1,1,0,0.25
2006,COL,Clint Hurdle,12,4,2002,2014,867,940,0.48,-73,1807,10,8,0.556,2,5,3.5,3,0,N,0,1,1,0,0.25
2005,COL,Clint Hurdle,12,3,2002,2014,867,940,0.48,-73,1807,10,8,0.556,2,5,3.5,3,0,N,0,1,1,0,0.25
2004,COL,Clint Hurdle,12,2,2002,2014,867,940,0.48,-73,1807,10,8,0.556,2,5,3.5,3,0,N,0,1,1,0,0.25
2014,DET,Brad Ausmus,1,0,2014,2014,90,72,0.556,18,162,0,3,0,1,1,1,1,0,Y,0,0,0,0,1
2013,DET,Jim Leyland,22,21,1986,2013,1769,1728,0.506,41,3499,44,40,0.524,1,6,3,8,7,Y,1,3,3,0.333333333,0.363636364
2012,DET,Jim Leyland,22,20,1986,2013,1769,1728,0.506,41,3499,44,40,0.524,1,6,3,8,6,Y,1,3,3,0.3,0.363636364
